bjd,rv,rv_err,instrument,bis,bis_err,fwhm,fwhm_err,halpha,halpha_err,logrhk,logrhk_err
2.4586908755593e6,46.9065,1.569856,HARPS_POST,-1.3666750004534822,2.387681229705905,8.23849724587207,0.007182083994560178,0.3755774678269273,0.009503673850176019,-3.5066923974159585,0.0024998704196073735
2.4586928190026e6,20.1791,1.548856,HARPS_POST,26.337115986311776,3.1926945179784143,8.2248799480965,0.008165569414330241,0.3774735131437801,0.009057589281399672,-3.5009789114051864,0.0024998704196073735
2.458693852882e6,2.21389,1.783348,HARPS_POST,45.75705291772941,5.0153125363018995,8.290453389290859,0.008587643088724421,0.3682012182428349,0.011220794780463537,-3.520507237415885,0.0024998704196073735
2.4586948445956e6,5.20294,1.450438,HARPS_POST,24.3606163697527,3.2182987734282564,8.193526026444781,0.008140508084285963,0.37112308901203045,0.007071837551647795,-3.5104462899692765,0.0024998704196073735
2.4586958717333e6,58.3818,1.562818,HARPS_POST,-15.608142929948693,2.3726778251999407,8.294556179624614,0.0077160295707932244,0.3793122794500581,0.008776585662562859,-3.4919504980737504,0.0024998704196073735
2.4586977868475e6,-33.6049,1.679529,HARPS_POST,79.03201478676229,8.298170095493623,8.238120938505974,0.010968446691632954,0.36916687524616315,0.009978888510726485,-3.5109874096285667,0.0024998704196073735
2.4586988226773e6,12.9645,1.455494,HARPS_POST,25.205457565171287,1.6057305350186424,8.195939466418233,0.008392344352249479,0.3662837809174599,0.00704276152754877,-3.511433119198118,0.0024998704196073735
2.458699881696e6,45.3504,1.599627,HARPS_POST,-16.664914052695185,1.8220289255840723,8.26850562857373,0.007746553615761939,0.3661498644469988,0.009125957623467585,-3.5156955561706313,0.0024998704196073735
2.4587008785499e6,3.14661,1.584411,HARPS_POST,58.32479353897513,4.056656460669306,8.269818560017658,0.009103214563485975,0.3750554128655464,0.009119269229921595,-3.5090130057953584,0.0024998704196073735
2.4587018059893e6,34.0493,1.543568,HARPS_POST,-0.49446890623022766,3.3137059003049525,8.237976603646084,0.0071390477762664,0.37262609804637625,0.008297226026459433,-3.5039331676571908,0.0024998704196073735
2.4587027675233e6,-3.72076,1.608381,HARPS_POST,67.10021865733314,6.049601945331963,8.276925207895387,0.009781204696973252,0.38780976331337624,0.009503919351298528,-3.4917538803016352,0.0024998704196073735
2.4587047973354e6,45.1857,1.687589,HARPS_POST,7.543822165799879,2.323674606149786,8.313318142209935,0.007609903924041277,0.3791704347299671,0.010307556024292841,-3.501127778389657,0.0024998704196073735
2.4587079096777e6,33.811,1.626997,HARPS_POST,-2.3902592491657493,1.844306362282307,8.207782478297606,0.007472571307299919,0.3696185559647314,0.009491860420487426,-3.506862838078545,0.0024998704196073735
2.4587087644731e6,45.1887,1.565605,HARPS_POST,2.3697277705669317,2.2364871445755097,8.286300254479926,0.007664849389208064,0.3702576475981006,0.008605145345697795,-3.5088865879432576,0.0024998704196073735
2.4587187496203e6,44.4029,1.595296,HARPS_POST,1.3980412235837236,1.9991585745569735,8.258288468086441,0.007301141074934708,0.375424429073418,0.009512543969502265,-3.4966076177102017,0.0024998704196073735
2.4587198247177e6,-21.7782,1.512444,HARPS_POST,66.02897670797037,6.527621873354597,8.296404328509706,0.009627482217229751,0.3740356026559496,0.007881860656531443,-3.501740879659295,0.0024998704196073735
2.4587208462222e6,14.4073,1.539093,HARPS_POST,11.789295878204209,3.785301692990761,8.210396602019465,0.006897711925077999,0.37488001183391934,0.01191004015600841,-3.503762496977748,0.0024998704196073735
2.4587217542766e6,51.8379,1.485048,HARPS_POST,1.596568254795816,1.8347586628300598,8.292989427621114,0.007405505399210275,0.3755392005564809,0.008197347902958589,-3.4927040800175453,0.0024998704196073735
2.4587227412262e6,20.3717,1.497969,HARPS_POST,29.54438009756366,3.7479316782652483,8.314677369358852,0.007707450554887246,0.38673801230641375,0.007771617021860951,-3.4874572740076615,0.0024998704196073735
2.4587237396809e6,-26.2997,1.479066,HARPS_POST,69.24692327048976,7.338122797198597,8.27199815972424,0.010108944948767556,0.3784109605173208,0.0075887397905111155,-3.4957439908319796,0.0024998704196073735
2.4587248231136e6,6.77159,1.666231,HARPS_POST,30.34563012652197,3.2864592036825413,8.209664611529334,0.007620195641107367,0.37270134773378677,0.010606030393810952,-3.5100322262976733,0.0024998704196073735
2.4587257098152e6,31.2646,1.590342,HARPS_POST,6.714077196993518,1.291991808414505,8.251570729622935,0.00778884232436868,0.36739015542904996,0.008748425633481,-3.51306042874527,0.0024998704196073735
2.4587347275826e6,29.2927,1.683237,HARPS_POST,12.087488323978851,3.924255875645129,8.265550310166532,0.007822456873384367,0.37014984284279023,0.012684513550997369,-3.5134891346759054,0.0024998704196073735
2.458736833069e6,6.17869,1.938884,HARPS_POST,38.44804775188815,5.168685094365805,8.295999845178011,0.008521989483619883,0.37479067442522573,0.012960307974249385,-3.5043758035604764,0.0024998704196073735
2.45873684849236e6,136.2,4.8,FEROS,2.0,7.0,12.0055,0.03250834967683376,0.38735543518167576,0.699778303992031,-3.4118706048580276,0.0003712441583579123
2.4587378023478e6,13.9178,1.973795,HARPS_POST,33.84417200786419,4.427499752519591,8.22032652673481,0.00840196936812723,0.3844871003531237,0.013629464786737242,-3.4993084458627153,0.0024998704196073735
2.45873783869835e6,193.1,5.0,FEROS,-16.0,7.0,11.9787,0.033013224488494156,0.3891287597335272,0.7035992171202079,-3.4163996562622887,0.0003712441583579123
2.4587387246212e6,54.3194,1.646037,HARPS_POST,-4.995239803887886,1.9285083498647417,8.297563095300536,0.0076332183544092335,0.3836145872023709,0.012459368592832523,-3.4991060962689144,0.0024998704196073735
